id,product_id,warehouse_id,quantity,reserved_quantity,reorder_point,max_stock,last_updated
1,101,1,250,30,100,500,2024-10-15T08:45:12Z
2,102,2,80,10,50,200,2024-10-18T12:30:00Z
3,103,1,0,0,20,100,2024-10-20T09:10:45Z
4,104,3,500,150,300,800,2024-10-22T16:05:30Z
5,105,2,45,5,30,150,2024-10-25T11:20:00Z
6,106,1,1200,200,600,1500,2024-10-27T07:55:10Z
7,107,3,75,0,40,200,2024-10-29T14:40:22Z
8,108,2,320,80,150,600,2024-11-01T10:15:55Z
9,109,1,15,2,10,50,2024-11-02T13:05:33Z
10,110,3,950,300,500,1200,2024-11-03T09:00:00Z
